id,brand,model,model_name,screen_size,screen_type,resolution,refresh_rate,chipset,cpu_cores,gpu,ram,storage,storage_expandable,rear_camera_main,rear_camera_count,rear_camera_specs,front_camera,video,battery_capacity,charging_wired,charging_wireless,fast_charging,os,network_5g,sim_type,weight,dimensions,water_resistance,fingerprint,nfc,infrared,headphone_jack,launch_date,source,source_url,fetched_at
samsung_galaxys25ultra,Samsung,Galaxy S25 Ultra,Samsung Galaxy S25 Ultra,6.9英寸,Dynamic AMOLED 2X,3120x1440,120Hz,Snapdragon 8 Gen 4,8核,Adreno 830,12GB,256GB,False,200MP,4,200MP主摄+50MP超广角+10MP长焦+50MP潜望,12MP,8K@30fps,5000mAh,45W,25W,True,Android 15,True,Nano-SIM + eSIM,219g,162.8x77.6x8.2mm,IP68,屏下超声波,True,False,False,2025-01-22,seed,,2026-08-06T13:26:12.083876+00:00
apple_iphone16pro,Apple,iPhone 16 Pro,iPhone 16 Pro,6.3英寸,OLED,2622x1206,120Hz,A18 Pro,6核,Apple 6核GPU,8GB,128GB,False,48MP,3,48MP主摄+48MP超广角+12MP长焦,12MP,4K@120fps,3582mAh,45W,25W MagSafe,True,iOS 18,True,Nano-SIM + eSIM,199g,149.6x71.5x8.3mm,IP68,无,True,False,False,2024-09-20,seed,,2026-08-06T13:26:12.083926+00:00
google_pixel9pro,Google,Pixel 9 Pro,Google Pixel 9 Pro,6.3英寸,OLED,2856x1280,120Hz,Google Tensor G4,8核,Mali-G715,16GB,128GB,False,50MP,3,50MP主摄+48MP超广角+48MP长焦,42MP,8K@30fps,4700mAh,27W,23W,True,Android 14,True,Nano-SIM + eSIM,199g,152.8x72.0x8.5mm,IP68,屏下光学,True,False,False,2024-10-15,seed,,2026-08-06T13:26:12.083929+00:00
huawei_pura70ultra,Huawei,Pura 70 Ultra,Huawei Pura 70 Ultra,6.8英寸,OLED,2844x1260,120Hz,Kirin 9010,8核,Maleoon 920,16GB,512GB,True,50MP,3,50MP主摄+40MP超广角+50MP潜望长焦,13MP,4K@60fps,5200mAh,100W,80W,True,HarmonyOS 4.2,True,Nano-SIM,226g,162.6x75.1x8.4mm,IP68,屏下光学,True,True,False,2024-04-18,seed,,2026-08-06T13:26:12.083930+00:00
xiaomi_15pro,Xiaomi,15 Pro,Xiaomi 15 Pro,6.73英寸,AMOLED,3200x1440,120Hz,Snapdragon 8 Gen 4,8核,Adreno 830,16GB,512GB,False,50MP,3,50MP主摄+50MP超广角+50MP潜望长焦,32MP,8K@30fps,6100mAh,120W,80W,True,"Android 15, HyperOS 2",True,Nano-SIM,225g,161.3x75.3x8.4mm,IP68,屏下超声波,True,True,False,2024-10-29,seed,,2026-08-06T13:26:12.083932+00:00
oppo_findx8pro,OPPO,Find X8 Pro,OPPO Find X8 Pro,6.78英寸,AMOLED,2780x1264,120Hz,Dimensity 9400,8核,Immortalis-G925,16GB,512GB,False,50MP,4,50MP主摄+50MP超广角+50MP潜望+50MP长焦,32MP,4K@60fps,5910mAh,80W,50W,True,"Android 15, ColorOS 15",True,Nano-SIM,215g,162.3x76.3x8.2mm,IP69,屏下超声波,True,True,False,2024-10-24,seed,,2026-08-06T13:26:12.083933+00:00
vivo_x200pro,vivo,X200 Pro,vivo X200 Pro,6.78英寸,AMOLED,2800x1260,120Hz,Dimensity 9400,8核,Immortalis-G925,16GB,512GB,False,50MP,3,50MP主摄+50MP超广角+200MP潜望长焦,32MP,8K@30fps,6000mAh,90W,30W,True,"Android 15, OriginOS 5",True,Nano-SIM,223g,162.1x76.0x8.5mm,IP69,屏下超声波,True,True,False,2024-10-14,seed,,2026-08-06T13:26:12.083935+00:00
samsung_galaxys25,Samsung,Galaxy S25,Galaxy S25,6.2英寸,Dynamic LTPO AMOLED 2X,2340x1080,120Hz,Snapdragon 8 Elite,8核,Adreno 830,12GB,128GB,False,50MP,3摄,50MP主摄(OIS)+10MP长焦(3x)+12MP超广角,12MP,8K@30fps,4000mAh,25W,15W,True,Android 15,True,Nano-SIM+eSIM,162g,146.9x70.5x7.2mm,IP68,超声波屏下,True,False,False,2025-01,samsung.com,,2026-08-06T13:35:39.869507Z
samsung_galaxyzfold7,Samsung,Galaxy Z Fold 7,Galaxy Z Fold 7,7.8英寸,Foldable Dynamic LTPO AMOLED 2X,2176x1812,120Hz,Snapdragon 8 Elite Gen 2,8核,Adreno 840,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+10MP长焦(3x)+12MP超广角,10MP,8K@30fps,4400mAh,45W,25W,True,Android 16,True,Nano-SIM+eSIM,239g,155.1x130.1x5.6mm(展开),IP48,侧边,True,False,False,2025-07,samsung.com,,2026-08-06T13:35:39.869507Z
google_pixel10pro,Google,Pixel 10 Pro,Pixel 10 Pro,6.3英寸,LTPO OLED,2856x1280,120Hz,Tensor G5,8核,Mali-G715,16GB,128GB,False,50MP,3摄,50MP主摄(OIS)+48MP潜望长焦(5x)+48MP超广角,42MP,8K@30fps,4870mAh,30W,23W,True,Android 16,True,Nano-SIM+eSIM,207g,152.8x72x8.5mm,IP68,超声波屏下,True,False,False,2025-08,store.google.com,,2026-08-06T13:35:39.869507Z
google_pixel10,Google,Pixel 10,Pixel 10,6.3英寸,OLED,2424x1080,120Hz,Tensor G5,8核,Mali-G715,12GB,128GB,False,50MP,2摄,50MP主摄(OIS)+48MP超广角,10.5MP,4K@60fps,4700mAh,27W,15W,True,Android 16,True,Nano-SIM+eSIM,192g,152.8x72x8.9mm,IP68,屏下光学,True,False,False,2025-08,store.google.com,,2026-08-06T13:35:39.869507Z
google_pixel9a,Google,Pixel 9a,Pixel 9a,6.3英寸,OLED,2424x1080,120Hz,Tensor G4,8核,Mali-G715,8GB,128GB,False,48MP,2摄,48MP主摄(OIS)+13MP超广角,13MP,4K@60fps,5100mAh,23W,7.5W,True,Android 15,True,Nano-SIM+eSIM,193g,154.7x73.2x8.9mm,IP67,屏下光学,True,False,False,2025-03,store.google.com,,2026-08-06T13:35:39.869507Z
apple_iphone15,Apple,iPhone 15,iPhone 15,6.1英寸,Super Retina XDR OLED,2556x1179,60Hz,A16 Bionic,6核,Apple 5核GPU,6GB,128GB,False,48MP,2摄,48MP主摄(位移式OIS)+12MP超广角,12MP,4K@60fps,3349mAh,20W,15W(MagSafe),True,iOS 17,True,Nano-SIM+eSIM,171g,147.6x71.6x7.8mm,IP68,无,True,False,False,2023-09,apple.com,,2026-08-06T13:35:39.869507Z
nothing_phone3,Nothing,Phone (3),Phone (3),6.67英寸,LTPO AMOLED,2800x1260,120Hz,Snapdragon 8s Elite,8核,Adreno 740,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+50MP长焦(2x)+50MP超广角,32MP,4K@60fps,5000mAh,45W,15W,True,Android 15,True,Nano-SIM,218g,163.5x77.5x9mm,IP65,屏下光学,True,False,False,2025-07,nothing.tech,,2026-08-06T13:35:39.869507Z
nothing_phone3a,Nothing,Phone (3a),Phone (3a),6.7英寸,AMOLED,2412x1080,120Hz,Snapdragon 7s Gen 3,8核,Adreno 730,8GB,128GB,False,50MP,3摄,50MP主摄(OIS)+50MP长焦(2x)+50MP超广角,32MP,4K@30fps,5000mAh,45W,无,True,Android 15,True,Nano-SIM,201g,163.5x77.5x8.2mm,IP54,屏下光学,True,False,False,2025-03,nothing.tech,,2026-08-06T13:35:39.869507Z
motorola_edge2025,Motorola,Edge (2025),Edge (2025),6.7英寸,P-OLED,2712x1220,120Hz,Dimensity 7400 Ultra,8核,Mali-G615 MC2,8GB,256GB,False,50MP,3摄,"50MP主摄(OIS)+10MP长焦(3x,OIS)+50MP超广角",50MP,4K@30fps,5200mAh,68W,15W,True,Android 15,True,Nano-SIM+eSIM,181g,161.2x73.1x8mm,IP68/IP69,屏下光学,True,False,False,2025-05,gsmarena.com,https://www.gsmarena.com/motorola_edge_(2025)-13907.php,2026-08-06T13:35:39.869507Z
samsung_galaxys24,Samsung,Galaxy S24,Galaxy S24,6.2英寸,Dynamic LTPO AMOLED 2X,2340x1080,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,8GB,128GB,False,50MP,3摄,50MP主摄(OIS)+10MP长焦(3x)+12MP超广角,12MP,8K@30fps,4000mAh,25W,15W,True,Android 14,True,Nano-SIM+eSIM,167g,147x70.6x7.6mm,IP68,超声波屏下,True,False,False,2024-01,samsung.com,,2026-08-06T13:39:15.267164+00:00
samsung_galaxya55,Samsung,Galaxy A55,Galaxy A55,6.6英寸,Super AMOLED,2340x1080,120Hz,Exynos 1480,8核,Xclipse 540,8GB,128GB,True,50MP,3摄,50MP主摄(OIS)+12MP超广角+5MP微距,32MP,4K@30fps,5000mAh,25W,无,True,Android 14,True,Nano-SIM+eSIM,213g,161.1x77.4x8.2mm,IP67,屏下光学,True,False,False,2024-03,samsung.com,,2026-08-06T13:39:15.267164+00:00
samsung_galaxyzflip7,Samsung,Galaxy Z Flip 7,Galaxy Z Flip 7,6.7英寸,Foldable Dynamic LTPO AMOLED 2X,2640x1080,120Hz,Snapdragon 8 Elite Gen 2,8核,Adreno 840,12GB,256GB,False,50MP,2摄,50MP主摄(OIS)+12MP超广角,10MP,4K@60fps,4000mAh,25W,15W,True,Android 16,True,Nano-SIM+eSIM,187g,165.1x71.9x6.9mm(展开),IP48,侧边,True,False,False,2025-07,samsung.com,,2026-08-06T13:39:15.267164+00:00
apple_iphone15promax,Apple,iPhone 15 Pro Max,iPhone 15 Pro Max,6.7英寸,Super Retina XDR OLED,2796x1290,120Hz,A17 Pro,6核,Apple 6核GPU,8GB,256GB,False,48MP,3摄,48MP主摄(位移式OIS)+12MP超广角+12MP长焦(5x),12MP,4K@60fps,4441mAh,27W,15W(MagSafe),True,iOS 17,True,Nano-SIM+eSIM,221g,159.9x76.7x8.3mm,IP68,无,True,False,False,2023-09,apple.com,,2026-08-06T13:39:15.267164+00:00
xiaomi_14,Xiaomi,14,14,6.36英寸,LTPO AMOLED,2670x1200,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+50MP长焦(3.2x)+50MP超广角,32MP,8K@24fps,4610mAh,90W,50W,True,"Android 14, HyperOS",True,Nano-SIM,193g,152.8x71.5x8.2mm,IP68,屏下光学,True,True,False,2023-10,mi.com,,2026-08-06T13:39:15.267164+00:00
xiaomi_redminote14pro,Xiaomi,Redmi Note 14 Pro,Redmi Note 14 Pro,6.67英寸,AMOLED,2712x1220,120Hz,Snapdragon 7s Gen 3,8核,Adreno 730,8GB,256GB,False,200MP,3摄,200MP主摄(OIS)+8MP超广角+2MP微距,20MP,4K@30fps,5500mAh,67W,无,True,"Android 14, HyperOS",True,Nano-SIM,190g,162.3x74.4x8.2mm,IP68,屏下光学,True,True,True,2024-09,mi.com,,2026-08-06T13:39:15.267164+00:00
xiaomi_pocof7pro,Xiaomi,Poco F7 Pro,Poco F7 Pro,6.67英寸,AMOLED,3200x1440,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+8MP超广角+2MP微距,20MP,8K@24fps,5000mAh,120W,无,True,"Android 14, HyperOS",True,Nano-SIM,209g,160.9x75x8.2mm,IP64,屏下光学,True,True,False,2024-05,mi.com,,2026-08-06T13:39:15.267164+00:00
oneplus_nord4,OnePlus,Nord 4,Nord 4,6.74英寸,AMOLED,2772x1240,120Hz,Snapdragon 7+ Gen 3,8核,Adreno 732,12GB,256GB,False,50MP,2摄,50MP主摄(OIS)+8MP超广角,16MP,4K@60fps,5500mAh,100W,无,True,"Android 14, OxygenOS 14",True,Nano-SIM,196g,162.6x75x8.6mm,IP65,屏下光学,True,True,False,2024-07,oneplus.com,,2026-08-06T13:39:15.267164+00:00
oppo_reno12,OPPO,Reno 12,Reno 12,6.7英寸,AMOLED,2412x1080,120Hz,Dimensity 7300,8核,Mali-G615 MC2,12GB,256GB,True,50MP,3摄,50MP主摄(OIS)+8MP超广角+50MP长焦(2x),50MP,4K@30fps,5000mAh,80W,无,True,"Android 14, ColorOS 14",True,Nano-SIM,177g,161.4x74.1x7.6mm,IP65,屏下光学,True,True,False,2024-05,oppo.com,,2026-08-06T13:39:15.267164+00:00
vivo_v40,vivo,V40,V40,6.78英寸,AMOLED,2800x1260,120Hz,Snapdragon 7 Gen 3,8核,Adreno 720,8GB,256GB,False,50MP,2摄,50MP主摄(OIS)+50MP超广角,50MP,4K@30fps,5500mAh,80W,无,True,"Android 14, Funtouch OS 14",True,Nano-SIM,190g,164.2x75x7.6mm,IP68,屏下光学,True,False,False,2024-06,vivo.com,,2026-08-06T13:39:15.267164+00:00
honor_magicv3,Honor,Magic V3,Magic V3,7.92英寸,Foldable LTPO OLED,2344x2156,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+50MP潜望长焦(3.5x)+40MP超广角,20MP,4K@60fps,5150mAh,66W,50W,True,"Android 14, MagicOS 8",True,Nano-SIM,226g,156.6x145.3x4.35mm(展开),IPX8,侧边,True,True,False,2024-07,honor.com,,2026-08-06T13:39:15.267164+00:00
realme_gt7pro,Realme,GT 7 Pro,GT 7 Pro,6.78英寸,LTPO AMOLED,2780x1264,120Hz,Snapdragon 8 Gen 4,8核,Adreno 840,16GB,512GB,False,50MP,3摄,50MP主摄(OIS)+50MP潜望长焦(3x)+8MP超广角,32MP,8K@30fps,6500mAh,120W,无,True,"Android 15, Realme UI 6",True,Nano-SIM,222g,162.4x76.9x8.6mm,IP69,超声波屏下,True,True,False,2024-11,realme.com,,2026-08-06T13:39:15.267164+00:00
sony_xperia1vi,Sony,Xperia 1 VI,Xperia 1 VI,6.5英寸,LTPO OLED,2340x1080,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,True,48MP,3摄,48MP主摄(OIS)+12MP长焦(3.5x-7.1x连续变焦)+12MP超广角,12MP,4K@120fps,5000mAh,30W,15W,True,Android 14,True,Nano-SIM+eSIM,192g,162x74x8.2mm,IP68,侧边,True,False,True,2024-06,sony.com,,2026-08-06T13:39:15.267164+00:00
asus_rogphone9,ASUS,ROG Phone 9,ROG Phone 9,6.78英寸,LTPO AMOLED,2400x1080,165Hz,Snapdragon 8 Elite,8核,Adreno 830,16GB,512GB,False,50MP,3摄,50MP主摄(OIS)+13MP超广角+5MP微距,32MP,8K@30fps,5800mAh,65W,15W,True,Android 15,True,Nano-SIM,227g,173.8x76.8x8.9mm,IP68,屏下光学,True,False,True,2024-11,asus.com,,2026-08-06T13:39:15.267164+00:00
motorola_razr50ultra,Motorola,Razr 50 Ultra,Razr 50 Ultra,6.9英寸,Foldable LTPO AMOLED,2640x1080,165Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,512GB,False,50MP,2摄,50MP主摄(OIS)+50MP远摄(2x),32MP,4K@60fps,4000mAh,45W,15W,True,Android 14,True,Nano-SIM+eSIM,189g,171.4x74x7.1mm(展开),IPX8,侧边,True,False,False,2024-06,motorola.com,,2026-08-06T13:39:15.267164+00:00
tcl_p80pro,TCL,P80 Pro,P80 Pro,6.67英寸,AMOLED,2400x1080,120Hz,Dimensity 7300,8核,Mali-G615 MC2,8GB,256GB,True,108MP,3摄,108MP主摄+8MP超广角+2MP微距,32MP,1080p@30fps,5010mAh,33W,无,True,Android 14,True,Nano-SIM,196g,164.5x75.5x7.9mm,IP52,侧边,True,False,True,2025-01,gsmarena.com,,2026-08-06T13:39:15.267164+00:00
infinix_zero40,Infinix,Zero 40 5G,Zero 40 5G,6.78英寸,AMOLED,2436x1080,144Hz,Dimensity 8200,8核,Mali-G610 MC6,12GB,256GB,False,108MP,3摄,108MP主摄(OIS)+50MP超广角+2MP景深,50MP,4K@60fps,5000mAh,45W,20W,True,"Android 14, XOS 14",True,Nano-SIM,197g,164.3x74.6x7.9mm,IP54,屏下光学,True,False,False,2024-05,infinixmobility.com,,2026-08-06T13:39:15.267164+00:00
tecno_phantomx3,Tecno,Phantom X3,Phantom X3,6.8英寸,AMOLED,2436x1080,120Hz,Dimensity 8200,8核,Mali-G610 MC6,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+50MP长焦(2x)+50MP超广角,32MP,4K@30fps,5000mAh,68W,无,True,"Android 14, HiOS 14",True,Nano-SIM,195g,164x74x8mm,IP54,屏下光学,True,False,False,2024-09,tecno-mobile.com,,2026-08-06T13:39:15.267164+00:00
meizu_22,Meizu,22,22,6.55英寸,AMOLED,2340x1080,120Hz,Snapdragon 8 Gen 3,8核,Adreno 750,12GB,256GB,False,50MP,3摄,50MP主摄(OIS)+13MP超广角+5MP景深,32MP,4K@60fps,4800mAh,80W,50W,True,"Android 14, Flyme 10",True,Nano-SIM,189g,157.2x72.6x7.8mm,IP54,超声波屏下,True,False,False,2024-07,meizu.com,,2026-08-06T13:39:15.267164+00:00
samsung_galaxys23,Samsung,Galaxy S23,Galaxy S23,6.1英寸,Dynamic AMOLED 2X,2340x1080,120Hz,Snapdragon 8 Gen 2,8核,Adreno 740,8GB,128GB,False,50MP,3摄,50MP主摄(OIS)+10MP长焦(3x)+12MP超广角,12MP,8K@30fps,3900mAh,25W,15W,True,Android 13,True,Nano-SIM+eSIM,168g,146.3x70.9x7.6mm,IP68,超声波屏下,True,False,False,2023-02,samsung.com,,2026-08-06T13:41:56.388179+00:00
samsung_galaxys23ultra,Samsung,Galaxy S23 Ultra,Galaxy S23 Ultra,6.8英寸,Dynamic AMOLED 2X,3088x1440,120Hz,Snapdragon 8 Gen 2,8核,Adreno 740,12GB,256GB,False,200MP,4摄,200MP主摄(OIS)+10MP长焦(3x)+10MP潜望长焦(10x)+12MP超广角,12MP,8K@30fps,5000mAh,45W,25W,True,Android 13,True,Nano-SIM+eSIM,234g,163.4x78.1x8.9mm,IP68,超声波屏下,True,False,False,2023-02,samsung.com,,2026-08-06T13:41:56.388179+00:00
samsung_galaxya35,Samsung,Galaxy A35,Galaxy A35,6.6英寸,Super AMOLED,2340x1080,120Hz,Exynos 1380,8核,Mali-G68 MP5,6GB,128GB,True,50MP,3摄,50MP主摄(OIS)+8MP超广角+5MP微距,13MP,4K@30fps,5000mAh,25W,无,True,Android 14,True,Nano-SIM+eSIM,209g,161.7x78x8.2mm,IP67,屏下光学,True,False,False,2024-03,samsung.com,,2026-08-06T13:41:56.388179+00:00
samsung_galaxya25,Samsung,Galaxy A25,Galaxy A25,6.5英寸,Super AMOLED,2340x1080,120Hz,Exynos 1280,8核,Mali-G68,6GB,128GB,True,50MP,3摄,50MP主摄(OIS)+8MP超广角+2MP微距,13MP,4K@30fps,5000mAh,25W,无,True,Android 14,True,Nano-SIM,197g,161x76.5x8.3mm,IP54,侧边,True,False,True,2024-01,samsung.com,,2026-08-06T13:41:56.388179+00:00
samsung_galaxym55,Samsung,Galaxy M55,Galaxy M55,6.7英寸,Super AMOLED+,2400x1080,120Hz,Snapdragon 7 Gen 1,8核,Adreno 644,8GB,128GB,True,50MP,3摄,50MP主摄(OIS)+8MP超广角+2MP微距,50MP,4K@30fps,5000mAh,45W,无,True,Android 14,True,Nano-SIM,180g,163.9x76.5x7.8mm,IP52,屏下光学,True,False,False,2024-04,samsung.com,,2026-08-06T13:41:56.388179+00:00
apple_iphone14,Apple,iPhone 14,iPhone 14,6.1英寸,Super Retina XDR OLED,2532x1170,60Hz,A15 Bionic,6核,Apple 5核GPU,6GB,128GB,False,12MP,2摄,12MP主摄(位移式OIS)+12MP超广角,12MP,4K@60fps,3279mAh,20W,15W(MagSafe),True,iOS 16,True,Nano-SIM+eSIM,172g,146.7x71.5x7.8mm,IP68,无,True,False,False,2022-09,apple.com,,2026-08-06T13:41:56.388179+00:00
apple_iphone14pro,Apple,iPhone 14 Pro,iPhone 14 Pro,6.1英寸,Super Retina XDR OLED,2556x1179,120Hz,A16 Bionic,6核,Apple 5核GPU,6GB,128GB,False,48MP,3摄,48MP主摄(位移式OIS)+12MP长焦(3x)+12MP超广角,12MP,4K@60fps,3200mAh,20W,15W(MagSafe),True,iOS 16,True,Nano-SIM+eSIM,206g,147.5x71.5x7.9mm,IP68,无,True,False,False,2022-09,apple.com,,2026-08-06T13:41:56.388179+00:00
apple_iphonese4,Apple,iPhone SE 4,iPhone SE 4,6.1英寸,Super Retina XDR OLED,2532x1170,60Hz,A18,6核,Apple 4核GPU,8GB,128GB,False,48MP,1摄,48MP主摄(OIS),12MP,4K@60fps,3279mAh,20W,15W(MagSafe),True,iOS 18,True,Nano-SIM+eSIM,172g,146.7x71.5x7.8mm,IP68,触控ID(电源键),True,False,False,2025-03,apple.com,,2026-08-06T13:41:56.388179+00:00
google_pixel8pro,Google,Pixel 8 Pro,Pixel 8 Pro,6.7英寸,LTPO OLED,2992x1344,120Hz,Tensor G3,9核,Immortalis-G715s MC10,12GB,128GB,False,50MP,3摄,50MP主摄(OIS)+48MP长焦(5x)+48MP超广角,10.5MP,4K@60fps,5050mAh,30W,23W,True,Android 14,True,Nano-SIM+eSIM,213g,162.6x76.5x8.8mm,IP68,屏下光学,True,False,False,2023-10,store.google.com,,2026-08-06T13:41:56.388179+00:00
google_pixel8a,Google,Pixel 8a,Pixel 8a,6.1英寸,OLED,2400x1080,120Hz,Tensor G3,9核,Immortalis-G715s MC10,8GB,128GB,False,64MP,2摄,64MP主摄(OIS)+13MP超广角,13MP,4K@60fps,4492mAh,18W,7.5W,True,Android 14,True,Nano-SIM+eSIM,188g,152.1x72.7x8.9mm,IP67,屏下光学,True,False,False,2024-05,store.google.com,,2026-08-06T13:41:56.388179+00:00
xiaomi_13tpro,Xiaomi,13T Pro,13T Pro,6.67英寸,AMOLED,2712x1220,144Hz,Dimensity 9200+,8核,Immortalis-G715 MC11,12GB,512GB,False,50MP,3摄,50MP主摄(OIS)+50MP长焦(2x)+12MP超广角,20MP,8K@24fps,5000mAh,120W,无,True,"Android 13, MIUI 14",True,Nano-SIM+eSIM,200g,162.2x75.7x8.5mm,IP68,屏下光学,True,True,False,2023-09,mi.com,,2026-08-06T13:41:56.388179+00:00
xiaomi_redminote13proplus,Xiaomi,Redmi Note 13 Pro+,Redmi Note 13 Pro+,6.67英寸,AMOLED,2712x1220,120Hz,Dimensity 7200 Ultra,8核,Mali-G610 MC4,12GB,256GB,False,200MP,3摄,200MP主摄(OIS)+8MP超广角+2MP微距,16MP,4K@30fps,5000mAh,120W,无,True,"Android 13, MIUI 14",True,Nano-SIM,204g,161.4x74.2x8.9mm,IP68,屏下光学,True,True,False,2023-09,mi.com,,2026-08-06T13:41:56.388179+00:00
